الفئة,المنتج,السعر
الفاكهة,كيوي (كرتونة) / كرتونة,700 جنيه
الفاكهة,+532316.67 %,غير متاح
الفاكهة,الموز البلدي / كيلو,24.31 جنيه
الفاكهة,-0.83.19 %,غير متاح
الفاكهة,التفاح المحلي / كيلو,44.29 جنيه
الفاكهة,-6.2112.3 %,غير متاح
الفاكهة,الخوخ / كيلو,41.43 جنيه
الفاكهة,-2.866.46 %,غير متاح
الفاكهة,البطيخ / واحدة,71.43 جنيه
الفاكهة,-1.431.96 %,غير متاح
الفاكهة,البرقوق / كيلو,44.29 جنيه
الفاكهة,+0.721.65 %,غير متاح
الفاكهة,نبق / كيلو,3 جنيه
الفاكهة,00 %,غير متاح
الفاكهة,موز مغربي / كيلو,25.71 جنيه
الفاكهة,+0.090.35 %,غير متاح
الفاكهة,موز مستورد / كيلو,42.14 جنيه
الفاكهة,+7.7622.57 %,غير متاح
الفاكهة,موز بيكو / كيلو,25 جنيه
الفاكهة,00 %,غير متاح
الفاكهة,مانجو بلدي / كيلو,33.57 جنيه
الفاكهة,+1.434.45 %,غير متاح
الأسمدة,اسمدة  / طن,15988.55 جنيه
الأسمدة,+911.466.05 %,غير متاح
مواد البناء,حديد إستثمارى / طن,38103.18 جنيه
مواد البناء,-435.131.13 %,غير متاح
مواد البناء,حديد عز / طن,39832.71 جنيه
مواد البناء,-356.80.89 %,غير متاح
مواد البناء,الأسمنت الرمادى / طن,3244.51 جنيه
مواد البناء,+18.050.56 %,غير متاح
